SampleID	NERR	prev_sample_name	Quarter_txt	Quarter_num	Replicate	SampleSite	NERR_TYPE	NERR_LONG	SITE	LAT	LONG	HAB_TYPE	Region	Ocean	North_South	input	filtered	percentage_of_input_passed_filter	denoised	merged	percentage_of_input_merged	nonchimeric	percentage_of_input_nonchimeric	Site_Corrected	NERR_SITE_QTR	NERR_SITE_QTR_REP	SWMP_ID	datenum	yr	mnth	day	lub_date	met	StationCode	isSWMP	DateTimeStamp	Temp	SpCond	Sal	DO_pct	DO_mgl	Depth	pH	Turb	min_since_wc	ATemp	WSpd	MaxWSpd	TotPAR	TotPrcp	min_since_met	PO4F	NH4F	NO23F	CHLA_N	min_since_nut	sal_range
AB141w0523231	AB	AB141w0523231	May_23	1	1	141	AB141	Dry_Bar_141	DB	29.6747	-85.0584	estuary_bottom_type_oyster_bar	SE	Gulf	South	358328	351777	98.17	350819	344456	96.13	340625	95.06	AB141	AB141_Q5	AB141_Q5_1	APADB	52323	23	5	23	5/23/23	apadbmet	apadbwq	P	1684836900	27.5	22.37	13.4	89.3	6.5	NA	7.9	13	2	NA	NA	NA	NA	NA	NA	0.004	0.002	0.041	17	69	SW
AB141w0523232	AB	AB141w0523232	May_23	1	2	141	AB141	Dry_Bar_141	DB	29.6747	-85.0584	estuary_bottom_type_oyster_bar	SE	Gulf	South	147479	145249	98.49	144774	140919	95.55	139498	94.59	AB141	AB141_Q5	AB141_Q5_2	APADB	52323	23	5	23	5/23/23	apadbmet	apadbwq	P	1684836900	27.5	22.37	13.4	89.3	6.5	NA	7.9	13	3	NA	NA	NA	NA	NA	NA	0.004	0.002	0.041	17	70	SW
AB141w0523233	AB	AB141w0523233	May_23	1	3	141	AB141	Dry_Bar_141	DB	29.6747	-85.0584	estuary_bottom_type_oyster_bar	SE	Gulf	South	436861	430220	98.48	429190	421712	96.53	416096	95.25	AB141	AB141_Q5	AB141_Q5_3	APADB	52323	23	5	23	5/23/23	apadbmet	apadbwq	P	1684836900	27.5	22.37	13.4	89.3	6.5	NA	7.9	13	4	NA	NA	NA	NA	NA	NA	0.004	0.002	0.041	17	71	SW
AB151w0523231	AB	AB151w0523231	May_23	1	1	151	AB151	Pilots_Cove_151	PC	29.60133	-85.02765	estuary_bottom_type_patchy_seagrass	SE	Gulf	South	134151	130656	97.39	129929	127116	94.76	126086	93.99	AB151	AB151_Q5	AB151_Q5_1	APAPC	52323	23	5	23	5/23/23	apapcmet	apapcwq	S	1684835100	27.4	41.15	26.3	91.9	6.3	NA	8.1	11	1	NA	NA	NA	NA	NA	NA	0.004	0.003	0.004	5.7	68	SW
AB151w0523232	AB	AB151w0523232	May_23	1	2	151	AB151	Pilots_Cove_151	PC	29.60133	-85.02765	estuary_bottom_type_patchy_seagrass	SE	Gulf	South	154544	150699	97.51	149867	145702	94.28	144104	93.24	AB151	AB151_Q5	AB151_Q5_2	APAPC	52323	23	5	23	5/23/23	apapcmet	apapcwq	S	1684835100	27.4	41.15	26.3	91.9	6.3	NA	8.1	11	0	NA	NA	NA	NA	NA	NA	0.004	0.003	0.004	5.7	69	SW
AB151w0523233	AB	AB151w0523233	May_23	1	3	151	AB151	Pilots_Cove_151	PC	29.60133	-85.02765	estuary_bottom_type_patchy_seagrass	SE	Gulf	South	138987	137234	98.74	136633	133497	96.05	131962	94.95	AB151	AB151_Q5	AB151_Q5_3	APAPC	52323	23	5	23	5/23/23	apapcmet	apapcwq	S	1684835100	27.4	41.15	26.3	91.9	6.3	NA	8.1	11	1	NA	NA	NA	NA	NA	NA	0.004	0.003	0.004	5.7	70	SW
AB161w0523231	AB	AB161w0523231	May_23	1	1	161	AB161	Mid-Bay_161	MD	29.6677	-84.994	estuary_bottom_type_sandy_silt	SE	Gulf	South	133698	131536	98.38	131068	128112	95.82	127175	95.12	AB161	AB161_Q5	AB161_Q5_1	APAMB	52323	23	5	23	5/23/23	apambmet	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.004	0.003	0.055	12	10167	NA
AB161w0523232	AB	AB161w0523232	May_23	1	2	161	AB161	Mid-Bay_161	MD	29.6677	-84.994	estuary_bottom_type_sandy_silt	SE	Gulf	South	281693	277833	98.63	276934	271692	96.45	269517	95.68	AB161	AB161_Q5	AB161_Q5_2	APAMB	52323	23	5	23	5/23/23	apambmet	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.004	0.003	0.055	12	10166	NA
AB161w0523233	AB	AB161w0523233	May_23	1	3	161	AB161	Mid-Bay_161	MD	29.6677	-84.994	estuary_bottom_type_sandy_silt	SE	Gulf	South	126079	124275	98.57	123865	121182	96.12	120404	95.5	AB161	AB161_Q5	AB161_Q5_3	APAMB	52323	23	5	23	5/23/23	apambmet	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.004	0.003	0.055	12	10165	NA
AB181w0523231	AB	AB181w0523231	May_23	1	1	181	AB181	East_Bay_Surface_181	EB	29.6747	-85.0584	estuary_bottom_type_clayey_sand	SE	Gulf	South	113083	110217	97.47	109734	108975	96.37	108555	96	AB181	AB181_Q5	AB181_Q5_1	APAEB	52323	23	5	23	5/23/23	apaebmet	apaebwq	P	1684831500	NA	NA	NA	34	2.6	NA	7.1	21	5	23.8	3.9	5.4	NA	0	5	0.006	0.084	0.004	22	10021	NA
